word,freq
NUMBER,110304
enron,29497
company,12026
say,11676
would,5586
energy,5530
new,5212
market,4718
dynegy,4635
stock,4588
year,4467
share,4388
billion,4307
business,4245
power,4210
million,3814
deal,3743
u,3628
time,3612
financial,3585
gas,3474
louise,3459
price,3395
trading,3388
credit,3373
week,3343
inc,3170
jones,3150
subject,3148
com,3137
dow,3068
investor,3050
make,2994
corp,2952
also,2933
one,2924
message,2896
report,2790
please,2762
may,2759
service,2712
get,2710
last,2572
copyright,2479
original,2477
could,2447
rating,2444
need,2441
c,2439
houston,2434
go,2426
call,2420
asset,2407
right,2404
take,2338
sent,2329
analyst,2316
percent,2297
e,2277
investment,2254
partnership,2251
day,2232
issue,2226
plan,2220
trade,2201
group,2198
know,2192
debt,2178
transaction,2103
include,2092
two,2084
york,2082
term,2067
pm,2041
work,2003
news,1985
ect,1963
sell,1899
chief,1894
kitchen,1873
reserve,1866
base,1863
p,1856
re,1833
cent,1810
state,1808
value,1791
change,1785
executive,1773
john,1754
contract,1751
buy,1744
quarter,1743
cash,1742
trader,1725
month,1713
security,1712
question,1711
lay,1704
like,1678
use,1676
provide,1626
bank,1616
cc,1613
see,1609
close,1592
exchange,1588
natural,1578
pay,1561
earnings,1560
want,1550
information,1544
sale,1531
monday,1525
follow,1516
loss,1489
large,1475
give,1474
come,1452
officer,1452
cost,1450
mr,1450
back,1444
people,1436
look,1431
project,1430
well,1427
agreement,1424
street,1424
long,1423
mark,1417
management,1408
high,1394
employee,1387
continue,1382
mail,1378
wednesday,1377
line,1376
thanks,1375
fastow,1375
first,1362
firm,1355
since,1351
today,1349
think,1348
bond,1345
equity,1343
expect,1337
wall,1324
next,1322
concern,1316
friday,1316
president,1316
regard,1310
move,1305
reuters,1305
david,1294
end,1293
interest,1291
still,1284
review,1283
per,1276
big,1272
low,1253
risk,1251
list,1246
third,1238
much,1238
let,1236
number,1219
note,1211
meeting,1205
chairman,1203
customer,1186
commission,1171
run,1167
comment,1161
fund,1156
utility,1147
file,1139
tuesday,1139
california,1138
shareholder,1124
bankruptcy,1121
name,1115
co,1114
fall,1108
forward,1107
cut,1100
many,1094
electricity,1094
hold,1093
office,1092
offer,1090
position,1084
yesterday,1082
result,1073
good,1070
ceo,1068
talk,1066
system,1064
complete,1058
option,1038
point,1037
lead,1032
merger,1031
hou,1029
thursday,1025
rate,1023
even,1019
help,1015
balance,1009
unit,1007
update,1003
due,1002
board,993
director,980
operation,976
capital,976
put,970
sec,970
however,969
send,959
money,953
way,952
receive,951
ask,951
find,949
charge,943
profit,933
october,933
downgrade,927
bill,920
j,917
add,915
request,912
keep,907
problem,904
contact,900
fell,898
meet,890
mm,884
order,881
rise,880
lose,877
believe,871
nov,871
purchase,868
part,868
possible,867
bloomberg,865
additional,859
plant,857
sheet,855
another,850
require,843
commercial,843
remain,842
pipeline,840
limit,838
leave,834
current,830
late,828
increase,824
early,823
attach,819
agree,817
past,816
dollar,813
product,808
decline,806
set,805
begin,805
support,803
america,803
manage,799
process,793
www,793
development,792
l,792
date,789
three,786
level,781
accord,773
try,772
short,768
finance,765
team,758
conference,758
payment,757
statement,755
oct,755
write,754
standard,753
best,753
total,750
jeff,750
start,749
moody,746
case,741
create,739
industry,734
might,734
confidence,733
announce,730
drop,730
committee,728
tell,727
general,725
place,723
future,723
net,720
legal,713
likely,709
enronxgate,705
become,705
journal,705
several,699
party,699
action,692
skilling,689
corporate,689
sign,688
top,686
associate,685
oil,676
recent,675
press,675
amount,672
schedule,671
post,670
release,666
raise,666
status,664
source,661
thing,657
whether,653
potential,651
k,651
andrew,649
ferc,647
november,646
agency,643
former,642
detail,640
account,639
filing,632
partner,632
discuss,627
already,623
show,621
do,620
own,620
paper,616
morgan,611
official,608
book,607
bid,607
september,607
b,602
morning,600
reduce,600
relate,599
wholesale,598
manager,598
ena,596
period,592
senior,592
august,592
mike,591
english,591
exposure,582
ago,579
major,577
investigation,576
discussion,574
enrononline,573
face,572
head,568
world,565
allow,564
document,563
available,560
loan,560
open,559
tax,558
davis,557
january,556
seek,555
job,551
estimate,549
access,547
public,546
gain,546
less,543
least,542
entity,542
lot,539
currently,538
consider,538
accounting,538
member,537
disclose,537
form,536
india,536
spokesman,535
force,534
disclosure,532
court,529
grade,529
chris,528
strong,527
intend,527
december,527
http,527
michael,526
event,526
demand,524
ee,524
clear,522
effort,522
global,521
texas,521
operate,520
propose,518
within,518
ljm,518
ubs,518
involve,515
greg,514
approval,513
control,512
poor,512
small,512
fail,512
commodity,509
w,508
edison,508
copy,507
appear,506
marketing,506
far,505
structure,504
decision,503
view,502
lawsuit,501
international,499
steve,498
around,497
dave,496
situation,496
site,494
cover,494
american,493
july,493
certain,490
brian,488
basis,487
usa,487
fax,484
second,482
sure,481
among,481
core,481
robert,480
government,480
able,480
related,480
earlier,479
without,479
focus,478
revenue,476
data,476
th,475
federal,474
return,472
supply,471
junk,471
seem,469
calger,469
bad,468
watson,468
transmission,465
growth,465
kevin,465
staff,464
great,463
james,463
communication,462
obligation,462
must,461
north,460
really,460
little,459
ene,459
rival,459
benefit,458
water,458
four,457
turn,455
lavorato,454
tomorrow,454
hard,453
smith,453
financing,451
liquidity,451
yet,449
electric,449
home,449
draft,448
understand,443
fw,443
opportunity,442
vice,442
law,441
index,441
build,438
regulatory,438
direct,438
addition,436
activity,436
cfo,436
technology,434
inquiry,434
email,431
matter,429
economy,429
volume,429
though,422
canada,422
individual,421
lender,421
final,420
jim,420
class,420
free,419
daily,418
buyer,418
area,418
giant,417
london,417
f,415
affiliate,412
richard,410
immediately,408
later,408
june,408
phone,406
serve,406
online,406
mid,405
stake,404
outside,403
reason,403
recently,403
acquisition,403
enough,400
crisis,400
internet,399
turbine,398
probably,397
average,396
real,395
approve,395
washington,394
research,394
reduction,394
anything,393
acquire,392
x,391
claim,390
dealing,390
private,389
income,389
letter,389
collapse,389
significant,388
attached,387
confirm,386
network,385
address,383
grow,383
non,381
role,381
desk,380
full,380
bring,378
plunge,378
newswires,377
either,376
consumer,374
april,374
others,372
soon,372
reach,371
house,370
europe,370
dabhol,370
something,369
secure,369
happen,368
q,368
key,367
assume,366
almost,366
chase,366
although,365
floor,363
page,363
target,362
broadband,362
five,361
hedge,361
kenneth,361
senate,359
tim,358
fact,357
record,357
away,356
thank,354
jeffrey,354
bob,354
ken,354
capacity,353
citigroup,353
west,352
ensure,352
step,352
suggest,351
mean,351
industrial,351
impact,351
center,351
mw,348
lower,348
approach,348
contain,348
resource,348
eol,348
paul,347
na,346
person,345
ltd,345
christopher,345
item,344
condition,344
ees,341
aep,341
bn,341
ii,340
counterparties,340
phase,339
netco,339
represent,337
hope,337
expense,337
economic,337
feel,336
speak,336
invest,336
worth,336
bush,336
trust,334
discus,332
every,332
together,331
cause,330
amid,330
exist,329
generation,328
facility,328
production,328
karen,328
corporation,328
jay,328
side,327
decide,326
creditor,325
mcmahon,325
fortune,325
suit,325
requirement,325
r,324
trouble,323
retail,322
indicate,321
sept,321
takeover,319
policy,319
test,318
city,318
notice,317
ability,317
announcement,316
etc,316
half,316
rule,310
maintain,310
prior,310
negotiate,310
attack,310
nearly,310
andersen,310
performance,308
hand,308
hour,308
transfer,307
afternoon,307
liability,307
default,307
six,307
different,306
strategy,304
determine,304
special,304
physical,303
oxley,302
summary,302
difficult,302
flow,302
hit,300
outstanding,300
tammie,299
section,299
portland,299
negative,298
laura,298
accept,297
presentation,297
east,297
arrangement,296
important,296
material,296
deliver,296
previously,295
budget,295
ben,295
spokeswoman,295
collateral,295
combine,294
portfolio,293
epmi,293
complex,293
fitch,293
develop,292
guarantee,291
join,290
chevrontexaco,290
march,289
scott,288
indian,288
fourth,288
reflect,287
pg,287
act,287
vote,287
margin,287
version,286
revise,286
country,285
cite,285
regulator,285
sector,284
various,284
near,284
master,284
generator,283
draw,283
mary,283
william,282
department,281
watch,281
replace,280
woman,280
ever,279
carol,279
black,279
example,278
response,275
derivative,274
administration,274
limited,273
wes,273
answer,273
guy,272
williams,272
never,272
ahead,272
origination,271
extend,271
interview,271
generate,270
swap,269
st,269
idea,268
client,268
nation,268
palmer,267
bbb,267
program,267
lawyer,267
experience,266
conflict,265
uncertainty,265
uk,265
affect,264
recipient,263
proposal,263
producer,262
everyone,261
attempt,261
maker,261
advise,260
cap,260
rto,259
rather,259
miller,259
metal,259
building,259
duke,258
push,258
web,258
restore,257
specific,257
link,257
field,256
stay,256
chair,256
afx,256
therefore,255
initial,255
despite,254
mention,254
faith,254
provision,254
vehicle,253
northern,253
frank,252
storage,252
along,252
dwr,250
seller,250
session,248
presto,248
assembly,247
figure,247
analysis,247
necessary,246
jr,246
national,245
unsecured,245
negotiation,244
old,244
error,243
fee,242
governor,242
enter,242
peter,241
estate,241
socal,240
appropriate,239
quickly,239
fear,239
thought,239
story,239
confidential,239
internal,238
wait,238
similar,238
responsibility,237
weekly,237
respond,237
cell,236
instead,236
anyone,236
subsidiary,236
identify,236
worry,236
dowjones,236
pressure,235
agenda,235
solution,235
check,235
nyse,235
effect,234
whose,234
el,233
launch,233
nothing,233
stop,232
fyi,232
pass,232
andy,232
yield,232
united,230
microsoft,230
independent,229
fully,229
february,228
spread,228
taylor,228
single,228
pull,228
schoppe,228
annual,228
blackberry,227
upon,226
trigger,226
platform,226
participant,226
coal,226
wire,226
slide,226
user,226
count,226
delay,225
present,225
familiar,225
space,225
common,225
chronicle,225
distribution,224
purpose,224
application,224
approximately,223
san,223
break,223
redmond,223
relationship,223
tom,223
type,223
sender,223
front,222
paso,222
organization,222
rob,222
behalf,221
belden,221
visit,221
holding,221
load,221
counterparty,221
fire,221
mexico,221
warn,221
european,221
probe,221
retirement,220
region,219
interested,219
handle,219
model,219
n,219
commitment,218
leader,218
light,218
george,217
eb,217
usd,217
puc,216
division,216
overall,216
owe,216
else,216
package,216
size,215
jan,215
jean,215
chicago,215
damage,215
treasury,215
settlement,214
spot,214
kind,214
forster,214
plus,213
someone,213
produce,212
quarterly,212
hear,211
spend,211
willing,211
couple,211
play,210
marketer,210
thomas,210
ft,210
evp,210
banker,209
delivery,209
player,209
paragraph,209
mirant,208
word,208
anne,207
practice,206
goldman,206
chuck,205
huge,205
stand,205
valuation,205
denne,205
deregulation,205
nasdaq,205
northwest,205
whalley,204
stephen,204
protection,204
track,204
chapter,203
challenge,202
political,202
buyout,202
colwell,202
brad,202
janet,202
credibility,202
broker,202
everything,201
tie,201
measure,201
attorney,201
slow,200
drive,200
course,200
termination,200
expectation,200
conduct,200
success,199
repay,199
japan,199
explain,199
ubsw,199
express,198
outlook,198
g,198
merchant,198
pr,198
previous,197
protect,197
counsel,197
llc,197
recommend,196
joe,196
investigate,196
audit,196
nymex,196
positive,196
lisa,196
litigation,196
white,195
always,195
prepare,195
otherwise,195
retain,194
premium,194
clearly,194
amendment,194
airline,194
avoid,193
summer,193
across,192
h,192
delete,192
responsible,192
notify,191
effective,191
judge,191
forecast,191
chance,191
allegheny,191
bln,191
lack,190
software,190
compare,190
closing,190
room,189
critical,189
submit,189
shell,189
distribute,189
fix,189
worker,188
webb,188
respect,187
local,187
carry,187
contribute,187
duran,187
quality,186
supplier,186
university,186
owner,186
woe,186
composite,186
resolve,185
improve,185
sue,185
lease,185
edward,185
hr,184
establish,184
series,183
steffes,183
equipment,183
richter,183
britain,183
los,182
actually,182
property,182
weekend,181
aware,181
provider,181
integration,181
surprise,181
bradford,180
appreciate,180
night,180
rest,180
occur,179
southern,179
insurance,179
angeles,179
dash,179
sally,179
azurix,179
range,179
quote,178
treasurer,178
alternative,178
attend,178
grant,178
venture,178
perhaps,177
code,177
prompt,177
resign,177
reliant,176
hi,176
sort,176
grid,176
main,176
vp,176
cancel,176
opinion,175
representative,175
execute,175
roll,175
dec,175
promise,174
pre,174
piper,174
active,174
importance,174
updatel,174
martin,173
correct,173
restate,173
infusion,173
warburg,173
unless,172
settle,172
canadian,172
design,172
column,172
chip,172
language,172
possibility,171
expand,171
competitor,171
electronic,171
save,171
formal,170
personal,170
function,170
doubt,170
terminate,170
mrha,169
live,169
prc,169
website,169
western,168
hop,168
advance,168
proceed,168
fred,168
particularly,167
read,166
susan,166
foreign,166
ok,166
curve,166
ppa,166
bandwidth,166
powerful,166
progress,165
calpine,165
rick,165
happy,165
doc,165
reporter,165
oust,165
profile,164
obviously,163
mailto,163
prudential,163
community,162
minute,162
directly,162
est,162
concerned,162
wind,162
earn,162
notch,162
hire,161
normal,161
longer,161
tech,161
exercise,161
associated,161
history,161
coale,161
especially,160
obtain,160
allege,160
pretty,159
ready,159
borrow,159
saving,159
highly,158
goal,158
clean,158
construction,158
boost,158
sense,157
rank,157
auditor,157
decade,157
tap,157
content,156
raymond,156
successful,156
boston,156
lynch,155
school,155
reveal,155
often,155
beth,155
stanley,155
wireless,155
south,154
life,154
article,154
failure,154
eric,154
dispute,154
pending,154
remove,154
hydro,153
brazil,153
volatility,153
milnthorp,153
republican,153
nine,153
charles,153
register,153
hpl,152
arrange,152
bottom,152
factor,152
departure,152
weather,152
maybe,152
legislature,151
v,151
arrive,151
wish,151
telephone,151
foot,151
plaintiff,151
luce,150
ge,150
arthur,150
diligence,150
compensation,150
americas,150
expert,150
dlrs,150
direction,149
via,149
bc,149
pursue,149
conversation,149
saw,149
lng,149
leadership,148
perform,148
toward,148
banking,148
fast,148
bit,148
contribution,147
joseph,147
british,147
england,147
immediate,147
rat,147
deadline,146
salomon,146
iso,146
depend,146
whole,146
unlikely,146
hall,146
wrong,146
refund,146
renegotiate,146
marlin,146
proceeds,145
pick,145
reporting,145
buying,145
attachment,145
monitor,145
central,144
recovery,144
brown,144
wood,144
recommendation,144
chart,144
de,144
certainly,144
pjm,144
mln,144
delainey,143
substantial,143
allen,143
entry,143
infrastructure,143
ship,143
discount,142
timeline,142
sound,142
cera,142
saturday,142
jump,142
finalize,141
authority,141
hunter,141
reference,141
behind,141
permit,141
sachs,141
info,140
strength,140
particular,140
difference,140
picture,140
struggle,140
jacoby,140
bonus,140
edition,140
weil,140
merrill,139
medium,139
mind,139
entire,139
speed,139
influence,138
preferred,138
bet,138
panel,138
simply,138
stuart,138
choice,137
true,137
yes,137
pa,137
insider,137
severance,137
ownership,136
apply,136
encourage,136
component,136
prefer,136
rescue,136
sunday,135
pas,135
neil,135
assistant,135
care,135
refer,135
barry,135
suffer,134
double,134
dan,134
peak,134
brief,134
walk,134
pat,134
golden,134
cpuc,133
pricing,133
travel,133
easy,133
fuel,133
pge,133
mou,133
weak,133
democrat,132
killen,132
significantly,132
beck,132
steven,132
heavy,132
resume,131
barney,131
tel,131
block,131
url,131
spreadsheet,131
generally,131
handheld,131
tumble,131
knowledge,130
transportation,130
inform,130
johnson,130
culture,130
video,130
exit,130
cook,129
outline,129
describe,129
coo,129
attention,129
alone,129
percentage,129
burton,128
finally,128
haedicke,128
zhiyong,128
bridge,128
family,128
middle,128
ratio,128
seven,128
consultant,128
francisco,127
evidence,127
heard,127
offering,127
hurt,127
assure,127
amy,127
table,126
evaluate,126
click,126
candidate,126
throughout,126
computer,126
plummet,126
llp,126
recover,125
parent,125
prevent,125
touch,125
absence,125
procedure,125
telecommunication,125
war,125
terrorist,125
bailout,124
prospect,124
acknowledge,124
portion,124
hundred,124
ford,124
ap,124
bg,124
dpc,124
ongoing,123
bp,123
brett,123
regional,123
confident,123
dyn,123
feedback,123
campaign,123
suspend,123
arise,123
olson,122
beyond,122
complicate,122
restructure,122
difficulty,122
winter,122
aes,122
france,122
gtc,122
thus,121
sa,121
broad,121
shift,121
pdx,121
serious,121
separate,121
gtv,121
study,121
sharply,121
mile,121
inside,121
aggressive,120
deffner,120
relation,120
pension,120
rely,120
strategic,119
memo,119
lp,119
extremely,119
pro,119
closely,119
competition,119
newswire,119
scenario,118
pacific,118
actual,118
primary,118
finish,118
affair,118
leslie,118
seat,118
select,118
soar,118
pound,118
strike,117
unable,117
emerge,117
transport,117
robinson,117
allocation,117
screen,117
miss,116
operating,116
megawatt,116
privilege,116
description,116
peer,116
mutual,116
extent,115
fundamental,115
host,115
technical,115
excess,115
vickers,115
prove,115
bridgeline,115
majority,115
mistake,115
shore,115
operator,115
magazine,115
kal,115
secretary,115
reportedly,114
slightly,114
preliminary,114
xx,114
dutch,114
ca,113
commit,113
baa,113
ea,113
principal,113
environment,113
jedi,113
additionally,113
prohibit,112
originator,112
learn,112
quick,112
bpa,112
osprey,112
except,111
sit,111
tycholiz,111
crude,111
royal,111
detailed,110
cross,110
speculation,110
shapiro,110
kean,110
sharp,110
joint,110
rogers,110
choose,110
downtown,110
expire,109
location,109
sb,109
holder,109
singapore,109
fine,109
institution,109
self,109
breach,109
da,109
possibly,108
welcome,108
implement,108
argue,108
steel,108
rebecca,108
flight,108
relevant,108
meanwhile,108
calgary,108
participate,108
scale,108
sarah,108
instrument,108
quite,107
health,107
shut,107
monthly,107
glisan,107
match,107
surge,107
land,107
writer,107
achieve,106
coverage,106
reply,106
communicate,106
bear,106
allocate,106
survey,106
hill,106
holiday,106
chevron,106
operational,105
expansion,105
exclude,105
voice,105
win,105
restatement,105
appoint,105
split,104
org,104
counter,104
julie,104
password,104
aquila,104
mobile,104
reassure,104
fair,103
regulation,103
gross,103
ice,103
clause,103
stage,103
comfortable,103
m,103
feed,103
sufficient,103
meade,103
troubled,103
jenny,103
sorry,102
emergency,102
ed,102
predict,102
midwest,102
transparency,102
blue,102
coordinate,102
salary,102
jennifer,102
exceed,102
license,102
fifth,102
recognize,101
consistent,101
connection,101
potentially,101
flexibility,101
locate,101
suisse,101
domestic,101
square,101
kelly,100
participation,100
resolution,100
fit,100
calculate,100
anticipate,100
acceptance,100
season,100
combination,100
title,99
roughly,99
qfs,99
shortly,99
ercot,99
russell,99
somewhat,99
ground,99
selling,99
rally,99
destroy,99
abandon,99
economist,99
halt,99
hewlett,99
transition,98
air,98
assumption,98
gary,98
favor,98
shively,98
traditional,98
foster,98
heather,98
typically,98
competitive,98
duty,98
scrutiny,98
northeast,98
rub,98
personnel,97
highlight,97
originally,97
dietrich,97
wide,97
guidance,97
arnold,97
headquarters,97
newspaper,97
apparently,96
circumstance,96
oppose,96
suppose,96
ultimately,96
task,96
moment,96
apart,96
mwh,96
matthew,96
indication,96
commentary,96
oregon,96
shed,96
packard,96
essentially,95
topic,95
whatever,95
elizabeth,95
confirmation,95
threaten,95
involvement,95
commerce,95
tx,95
specifically,95
linda,95
sander,95
tds,95
abb,95
msn,95
clarification,94
felt,94
game,94
assistance,94
external,94
rd,94
largely,94
calm,94
piece,94
slip,94
eye,94
friend,94
congress,94
avon,94
newpower,94
district,93
extension,93
introduce,93
card,93
la,93
marketplace,93
mature,93
hong,93
kong,93
realize,93
port,93
define,93
curry,93
euro,93
clair,93
refuse,92
rumor,92
comparison,92
hearing,92
alan,92
coast,92
relatively,92
toll,92
promote,92
completion,91
effectively,91
convertible,91
wiggs,91
shortfall,91
adjustment,91
connect,91
employment,91
harris,91
antitrust,91
dorie,91
slump,91
neither,90
none,90
michelle,90
signal,90
primarily,90
rahil,90
lloyd,90
store,90
edt,90
stadium,90
deny,89
gonzalez,89
reject,89
pastoria,89
minimum,89
enw,89
usual,89
brokerage,89
commissioner,89
tower,89
man,89
fiscal,89
cindy,88
stick,88
understanding,88
reasonable,88
valuable,88
print,88
pool,88
nancy,88
spending,88
sheila,88
basic,88
initially,88
jeanie,88
lagrasta,88
adequate,88
oversight,88
barone,88
senator,87
perspective,87
harry,87
ray,87
capability,87
fight,87
bowen,87
zero,87
informal,87
dealer,87
switch,87
phillip,87
wake,87
minus,86
gray,86
wonder,86
fill,86
clark,86
publish,86
advantage,86
documentation,86
merge,86
southwest,86
examine,86
beat,86
pledge,86
fleischer,86
pct,86
domain,85
implication,85
iii,85
wei,85
multiple,85
koehler,85
category,85
morris,85
shankman,85
complaint,85
replacement,85
evaluation,85
profitable,85
eliminate,85
hitchcock,85
controversial,85
gov,84
texaco,84
lee,84
strictly,84
admit,84
reorganization,84
crunch,84
blame,84
tariff,84
dallas,84
renew,84
reputation,84
retention,84
wessex,84
pickering,84
citibank,84
offs,84
capitalization,84
surround,83
matt,83
tammy,83
clarify,83
ten,83
professor,83
institutional,83
palo,83
dilute,83
beleaguer,83
unusual,83
association,82
spark,82
formerly,82
format,82
outcome,82
regulate,82
currency,82
tough,82
monterrey,82
engage,82
park,82
shall,82
weaken,82
star,82
jaime,82
keith,81
image,81
approx,81
capture,81
exec,81
meg,81
prepared,81
solid,81
priority,81
herndon,81
wsj,81
heavily,81
compaq,81
repayment,81
round,81
plc,81
initiative,80
hot,80
expensive,80
cisco,80
purchaser,80
ron,80
asia,80
advice,80
food,80
aim,80
blow,80
unwind,80
normally,80
tool,80
accountant,80
restrict,80
thomson,80
funding,79
arm,79
incorporate,79
fairly,79
suite,79
battle,79
davy,79
jon,79
commerzbank,79
mseb,79
savita,79
observer,79
adverse,79
germany,79
maharashtra,79
heim,79
daniel,78
sum,78
assign,78
speaker,78
exempt,78
weigh,78
peakers,78
ann,78
publicly,78
convince,78
stuff,78
todd,78
aig,78
dozen,78
petroleum,78
minister,78
newco,78
hide,78
triple,78
whitewing,78
execution,77
increasingly,77
treat,77
mitch,77
ew,77
signature,77
hopefully,77
concept,77
kim,77
smart,77
enable,77
station,77
exactly,77
mount,77
jafry,77
mhi,77
sole,77
recession,77
louis,77
motor,77
attractive,76
amend,76
blackstone,76
revision,76
offset,76
adviser,76
id,76
integrate,76
completely,76
toronto,76
successfully,76
ny,76
widely,76
waste,76
climb,76
informational,76
fiorina,76
janus,76
scope,75
neal,75
input,75
collect,75
relative,75
massive,75
telecom,75
strongly,75
thousand,75
catch,75
usually,75
tight,75
specify,75
guess,75
updated,75
adjust,75
aug,75
dean,75
prime,75
auction,75
china,75
cayman,75
doug,74
leverage,74
background,74
lon,74
folk,74
legislation,74
planning,74
deregulate,74
fuller,74
developer,74
numerous,74
bryan,74
confidentiality,74
survive,74
zufferli,74
weakness,73
kimberly,73
eim,73
creation,73
issuance,73
hodges,73
ring,73
database,73
jeremy,73
solicitation,73
slone,73
overstate,73
mirror,73
al,73
institute,73
ag,73
deposit,73
enymex,73
rebound,73
affiliated,73
frevert,72
versus,72
unclear,72
adopt,72
fly,72
career,72
restructuring,72
rac,72
modify,72
confusion,72
basically,72
deep,72
benchmark,72
illinois,72
feygin,72
military,72
tata,72
embattle,72
eta,72
sempra,71
nrg,71
sacramento,71
lydecker,71
objective,71
asap,71
geoff,71
lock,71
assignment,71
engineering,71
award,71
reward,71
verification,71
lehman,71
bolster,71
chewco,71
extra,70
continued,70
calculation,70
down,70
justice,70
moore,70
barbara,70
reform,70
storey,70
rice,70
adam,70
christina,70
projection,70
bind,70
governance,70
fitzpatrick,70
german,70
enforcement,70
dana,69
ab,69
recruit,69
nile,69
conversion,69
continental,69
personally,69
insist,69
young,69
assist,69
perlman,69
schneider,69
dividend,69
unfortunately,69
substantially,69
headcount,69
portcalc,69
le,69
cl,69
ibm,69
newsroom,69
terrie,69
cbs,69
princeton,69
pitt,69
higher,68
union,68
indeed,68
consult,68
paula,68
nd,68
definitely,68
equivalent,68
bankrupt,68
gold,68
spring,68
ops,68
assessment,68
hotel,68
